Región,Población,Densidad
Antofagasta,607534,"4,9"
Arica y Parinacota,226068,"14,2"
Atacama,286168,"4,2"
Aysén,103158,"1,0"
Biobío,2037414,"57,0"
Coquimbo,757586,"19,0"
La Araucanía,957224,"31,1"
Los Lagos,828708,"17,3"
Los Ríos,384837,"21,9"
Magallanes y Antártica Chilena,166533,"1,2"
Maule,1044950,"34,4"
Metropolitana de Santiago,7112808,"474,9"
O'Higgins,914555,"56,1"
Tarapacá,330558,"8,0"
Valparaíso,1815902,"111,4"
